"date","inflation","nominal_interest_rate","exp_inflation","real_interest_rate","uncertainty","ibcbr","real_ex_rate","commodity_index","ind_prod","m1","logdiff_commodity_index","logdiff_m1","logdiff_ibcbr","inflation_adj","logdiff_m1_adj"
1999-04-01,0.0693088867179825,0.3193,NA,NA,NA,NA,99.7,48.08,NA,44075657,-0.119630099351071,-0.0317398101489204,NA,0.0548316007015028,-0.00946147327775464
1999-05-01,0.0365999802881301,0.2334,NA,NA,NA,NA,98.35,47.95,NA,44052226,-0.00270748889750472,-0.000531749992273234,NA,0.0408781899495215,0.0136956429504823
1999-06-01,0.0230397754505438,0.2096,NA,NA,NA,NA,102.06,49.75,NA,45939541,0.0368516622751547,0.0419503213279562,NA,0.0438824266109301,0.0205782997347586
1999-07-01,0.138933477132203,0.1951,NA,NA,NA,NA,102.97,48.92,NA,48011511,-0.0168241527856301,0.0441145887394221,NA,0.115944688920346,0.0491042142048898
1999-08-01,0.0693088867179825,0.1952,NA,NA,NA,NA,108.5,52.98,NA,47508989,0.0797281730249519,-0.0105218594156398,NA,0.0869776928355077,-0.0075262610827228
1999-09-01,0.0378408599618558,0.19,NA,NA,NA,NA,109.72,54.35,NA,46988943,0.0255301297232946,-0.0110066165277942,NA,0.0709786449422159,-0.0186684388159723
1999-10-01,0.152527113059203,0.1883,NA,NA,NA,NA,113.32,57.08,NA,48580640,0.0490091790414171,0.0333127789189511,NA,0.151976302584408,0.0421371202343344
1999-11-01,0.120149216274177,0.1903,NA,NA,NA,NA,108.98,56.74,NA,51580026,-0.00597436322793055,0.0599094068914319,NA,0.119946061527331,0.0228150490976558
1999-12-01,0.0744241677219248,0.1904,NA,NA,NA,NA,102.78,54.37,NA,62744441,-0.0426668982228757,0.195935479921747,NA,0.0582006264965896,0.0323252941627256
2000-01-01,0.0769902108971672,0.189,NA,NA,86.2,NA,100.17,54.5,NA,56633254,0.0023881705113693,-0.102473645261384,NA,0.0456435788864387,0.0203944373744929
2000-02-01,0.0157120247567155,0.1887,NA,NA,86,NA,97.34,53.47,NA,54038049,-0.0190799527085583,-0.04690792963126,NA,0.0161432224697686,-0.0224147269831348
2000-03-01,0.0267217941965934,0.1852,NA,NA,83.8,NA,95.28,53,NA,53255346,-0.0088288354085182,-0.0145902156369679,NA,0.0326112734130233,0.0169837119338076
2000-04-01,0.0515806944291164,0.1862,NA,NA,93.2,NA,96.02,53.27,NA,53668551,0.00508140737678575,0.00772899358463519,NA,0.0396414541670749,0.0273817692506388
2000-05-01,0.00120066022004939,0.1844,NA,NA,85.8,NA,97.52,56.65,NA,52976100,0.0615186665451075,-0.0129863190508459,NA,0.00936924503379041,0.00220106412342324
2000-06-01,0.027951830643242,0.1729,NA,NA,89.3,NA,98.44,56.22,NA,54696730,-0.00761942199562959,0.0319630585690867,NA,0.0516419818353998,0.0117772099225443
2000-07-01,0.211260113850781,0.1639,NA,NA,83.3,NA,95.77,55.94,NA,57077894,-0.0049928777045718,0.0426129693234039,NA,0.187398394942108,0.0435850437701019
2000-08-01,0.169035728038332,0.1641,NA,NA,85,NA,93.46,56.41,NA,56626345,0.00836675997807124,-0.00794256006234662,NA,0.184088306913456,-0.0038534466473426
2000-09-01,0.027951830643242,0.166,NA,NA,86.3,NA,94.05,58.42,NA,59451342,0.0350118492077103,0.0486838601927779,NA,0.0595015140566852,0.0385488668753337
2000-10-01,0.0169299655858595,0.1659,NA,NA,88.7,NA,95.61,60.08,NA,60166406,0.0280187104962843,0.0119559602122017,NA,0.0164989925934381,0.0208957864823628
2000-11-01,0.0390831011312591,0.164,NA,NA,82.6,NA,99.08,62.33,NA,63052800,0.0367658433648792,0.0468583139384506,NA,0.0377326314385438,0.0109636421919663
2000-12-01,0.0731432488907429,0.1584,NA,NA,86.1,NA,101.06,63.77,NA,74352468,0.0228400095064218,0.164844396082369,NA,0.0554374023721608,0.00669652226857739
2001-01-01,0.0705856097792963,0.1512,NA,NA,90.2,NA,100.36,62.97,NA,66549099,-0.0126244378265294,-0.110876860649526,NA,0.0392059832581619,0.0134660990037179
2001-02-01,0.0566181971940869,0.1514,NA,NA,86.8,NA,105.96,62.92,NA,68309887,-0.000794344310573791,0.0261145084622356,NA,0.0556375932251181,0.0464444829704268
2001-03-01,0.046565215684566,0.1584,NA,NA,88.8,NA,109.46,63.02,NA,66032790,0.00158805813905083,-0.0339030776840445,NA,0.0515361004092893,-0.00161809137714455
2001-04-01,0.0718637300402489,0.1628,NA,NA,87.3,NA,114.17,64.69,NA,65811791,0.0261544937267653,-0.00335242002822511,NA,0.0613104818276876,0.0146766169687369
2001-05-01,0.0503247634171551,0.168,NA,NA,85.9,NA,119.14,67.42,NA,65461974,0.0413350797500209,-0.005329592368021,NA,0.0606959675434604,0.00903936266747591
2001-06-01,0.0642159387145589,0.1832,NA,NA,96.1,NA,121.73,68.59,NA,66395565,0.0172050417053153,0.0141608376443116,NA,0.0903897486626012,-0.00560217985337391
2001-07-01,0.171808143495833,0.1888,NA,NA,92.7,NA,124.71,70.08,NA,67328517,0.0214906951169063,0.0139536143887362,NA,0.150807901310671,0.0144585431088837
2001-08-01,0.0873106619155055,0.1905,NA,NA,87.6,NA,128.03,69.72,NA,67571709,-0.00515022597631631,0.00360551306196299,NA,0.102917946795233,0.00597041980857014
2001-09-01,0.0341223000022235,0.191,NA,NA,108.7,NA,136.35,70.01,NA,68485780,0.00415086833728662,0.0134367429435436,NA,0.063812786361747,0.00285861069841818
2001-10-01,0.104274913828344,0.1905,NA,NA,101.8,NA,137.79,67.54,NA,67524432,-0.0359180740316845,-0.0141366445333304,NA,0.103141335014248,-0.00441935594071954
2001-11-01,0.0886070727067956,0.1905,0.0557,0.1348,94.1,NA,126.16,63.76,NA,70243399,-0.0575939804754624,0.0394768514421813,NA,0.0853791493344021,0.00424079199433762
2001-12-01,0.0808498103655155,0.1905,0.0484,0.1421,97,NA,116.85,59.38,NA,83706703,-0.0711685651463458,0.175352718534814,NA,0.06104653769702,0.0220329859860054
2002-01-01,0.0642159387145589,0.1905,0.0476,0.1429,106,NA,111.75,60.9,NA,74672200,0.0252757053802375,-0.114211190336935,NA,0.0318465510455185,0.0115609350078822
2002-02-01,0.0440657079419022,0.1879,0.047,0.1409,95.7,NA,111.03,60.65,0.031,73939370,-0.00411353932579228,-0.009862434533769,NA,0.0408677561396602,0.00968107596459322
2002-03-01,0.0744241677219248,0.1852,0.0494,0.1358,98.7,NA,106.76,59.36,-0.004,73216164,-0.0214990365309342,-0.0098292167878995,NA,0.0779063972553221,0.0216128153727851
2002-04-01,0.100338693716146,0.1811,0.049,0.1321,91.7,NA,105.39,57.3,-0.004,74760982,-0.0353199751384308,0.0208799016052765,NA,0.0909383325801239,0.0380840846601943
2002-05-01,0.0254931070792348,0.1816,0.0437,0.1379,98.7,NA,112.89,61.16,-0.004,73786726,0.0651927573401672,-0.0131172669373747,NA,0.0373112655687737,-0.000102835256118396
2002-06-01,0.0515806944291164,0.1841,0.0457,0.1384,102.3,NA,124.7,68.06,0.003,79666601,0.106896288011899,0.0766715880650537,NA,0.0806308752842321,0.055923334156636
2002-07-01,0.152527113059203,0.1787,0.0508,0.1279,103.9,NA,136.62,77.46,0.005,82770745,0.129372005013846,0.0382242387072367,NA,0.13705568229314,0.0394180455456351
2002-08-01,0.0808498103655155,0.1782,0.054,0.1242,116,NA,142.67,82.06,-0.015,85509912,0.0576890129274341,0.0325576213454184,NA,0.0982363511066936,0.0326738984990844
2002-09-01,0.089904900269945,0.179,0.0628,0.1162,105.2,NA,152.25,91.46,0.011,88177292,0.108451031215869,0.0307171704987539,NA,0.117491563811678,0.0190835442362538
2002-10-01,0.169035728038332,0.209,0.0894,0.1196,113.5,NA,171.03,105.84,0.009,88821343,0.146026801576792,0.00727750067131794,NA,0.167766055311583,0.0159454928456942
2002-11-01,0.429086598372564,0.219,0.1247,0.0943,117.1,NA,158.26,103.56,0.001,91947479,-0.0217773649233637,0.0345905633819754,NA,0.424310900994442,-0.00126386362438073
2002-12-01,0.283243003396247,0.249,0.1324,0.1166,111.5,NA,158.7,106.77,-0.011,107845940,0.0305258333068741,0.159486193649457,NA,0.261148606310776,0.0117664602404148
2003-01-01,0.306049989887568,0.2538,0.1172,0.1366,108,NA,149.36,103.33,0.006,92451476,-0.0327492379639471,-0.154019804157052,NA,0.271591112349011,-0.0278030524707525
2003-02-01,0.20555056084022,0.2628,0.1107,0.1521,100,NA,160.19,110.95,-0.001,90973223,0.0711518991523397,-0.0161187126236229,NA,0.198917563792634,0.00207188817807999
2003-03-01,0.158006086834585,0.2632,0.099,0.1642,98.3,102.12,152.85,102.33,-0.001,87106671,-0.0808767642799397,-0.0434317394168886,NA,0.159478159947067,-0.0128526663466864
2003-04-01,0.122815179047249,0.2632,0.0918,0.1714,90.9,101.13,138.14,93.36,-0.003,84500366,-0.0917398971203633,-0.0303776053371791,-0.00974177445920432,0.114026822763172,-0.0119372191869661
2003-05-01,0.0757064879261868,0.2627,0.0823,0.1804,102.6,99.71,133.03,89.67,-0.021,83333885,-0.0403267230143438,-0.0139006165424682,-0.0141408450733778,0.0871369103810889,-0.00467304725163715
2003-06-01,-0.0178522400000656,0.2576,0.0708,0.1868,95.2,100.4,130.28,86.67,0.005,85625030,-0.0340284618177025,0.0271223977750665,0.00689623441692788,0.0127650833901401,0.00957783996546833
2003-07-01,0.0242657679454032,0.243,0.0639,0.1791,98.4,99.02,129.2,88.15,-0.01,84264307,0.0169321056976255,-0.0160192761081923,-0.0138403573243524,0.0145568840342083,-0.0118073602140316
2003-08-01,0.041571673389913,0.2183,0.0632,0.1551,94.3,99.76,132.84,93.32,0.016,84339229,0.0569945383093495,0.000888735867693669,0.00744545143850406,0.0599608765184032,0.000518490547523089
2003-09-01,0.0977216967611758,0.1984,0.0656,0.1328,90.4,101.67,129.62,93.56,0.031,85383962,0.0025684945627491,0.0123111778565175,0.0189649729152892,0.122955567960166,-2.10311391564636e-05
2003-10-01,0.0353604607534075,0.1885,0.0615,0.127,93.2,101.67,129.03,97.42,0.01,85529755,0.0404285866624186,0.00170604253328577,0,0.0346727783623174,0.0096186139144804
2003-11-01,0.041571673389913,0.1732,0.058,0.1152,92.4,101.98,130.76,100.82,0.011,92097337,0.0343052202760878,0.0739817015229711,0.00304444133993975,0.0371759674737669,0.0364908415308177
