"","period","inflation","inflation_target","nominal_interest_rate","mean_exp_inflation","real_interest_rate","unemployment_rate","output_gap","consumption","real_wage_rate","mean_real_savings_balance","mean_indexation_strategy","mean_substitution_strategy","stdev_real_savings_balance","stdev_indexation_strategy","stdev_substitution_strategy"
"67",67,0.0293275558074681,0.02,0.019470973819192,0.0203011018190011,-0.000830127999809162,0.0313285206479131,-0.0235948036314281,70.1729971363951,0.14534021641206,0.0147245909912058,1.0172369949326,1.00520223786862,0.120476275011457,0.293486105538962,0.298085433357832
"68",68,0.0182211531068068,0.02,0.0259441874134943,0.0216612001941898,0.00428298721930446,0.0340213385260204,-0.0256360782255004,69.4882968843583,0.14544259467807,0.0158143344072209,1.01779222823859,1.0046541590572,0.119590393747788,0.29374629896358,0.297877969143034
"69",69,0.0132019453831233,0.02,0.0128759488005395,0.0204249583493377,-0.0075490095487982,0.039121637755373,-0.0294963818710342,69.8969515241314,0.145635041941861,0.014697526216336,1.01756278597376,1.00494431875099,0.120223668086266,0.293999145887009,0.297716467417386
"70",70,0.0243202353212997,0.02,0.0077613719728971,0.0191214746980401,-0.011360102725143,0.0365461032543978,-0.0275399691001177,70.7344951054265,0.14553610143042,0.0132267083175428,1.017969353335,1.0046692301481,0.117392987083244,0.2941778720654,0.29780346745438
"71",71,0.0294719373806563,0.02,0.0195551869532946,0.0202715101049341,-0.000716323151639552,0.0315222452570687,-0.0237412607493029,70.5475171914121,0.145347483967952,0.0138435193290093,1.01835355020727,1.00466886801365,0.113198457796967,0.29422143536044,0.297722828294278
"72",72,0.018288570467708,0.02,0.0261216515631095,0.0216914790810717,0.0044301724820378,0.0342145245985285,-0.0257822291598409,69.8660532837323,0.145449867353259,0.0149097753537599,1.01913308436313,1.00494048621763,0.112225864007607,0.29413207270863,0.298048786125575
"73",73,0.0132260689770154,0.02,0.0129903995311845,0.0204713778819082,-0.00748097835072378,0.0393138038190383,-0.0296419537743043,70.2531733202491,0.145642324240136,0.013817388492519,1.02012388402495,1.0051260060339,0.112860740152097,0.294357294703892,0.297845308061021
"74",74,0.0243652043021756,0.02,0.00782466817683582,0.0191138631735962,-0.0112891949967604,0.0367387843992079,-0.0276858344579667,71.0662045930123,0.145543378781298,0.0123916115540535,1.02101651111592,1.00513939066147,0.110084145637237,0.29430130585434,0.297954284001962
"75",75,0.0296269710797315,0.02,0.0196371934976306,0.0203125029142601,-0.00067530941662956,0.0317159311232397,-0.0238876958991592,70.8911581519757,0.145354751887249,0.0129801226241441,1.0213230125988,1.0052505011087,0.106025117615459,0.294227498412246,0.298134722067367
"76",76,0.0183406719696094,0.02,0.0263152012019134,0.0216978790414696,0.00461732216044374,0.034407672035754,-0.0259283581720893,70.1974473611879,0.145457140392109,0.0140549431967838,1.02189101624094,1.00513723687599,0.105073174235384,0.294336793907535,0.298333458060438
"77",77,0.0131682828496671,0.02,0.0130377325374045,0.0204786681391123,-0.00744093560170774,0.0395059314514125,-0.0297875038423348,70.5591468525511,0.145649606902552,0.0129976582743151,1.02177141815792,1.00567089905251,0.105626681523903,0.294436377956585,0.298242536448554
"78",78,0.0244268565340509,0.02,0.00782924594579489,0.019107110186365,-0.0112778642405701,0.0369314270097159,-0.0278316779365591,71.3681299046578,0.14555065649607,0.0115766018039724,1.02200024812955,1.00485059990515,0.102963004217468,0.294331811462472,0.29828480438762
"79",79,0.0297719410026021,0.02,0.0197244705839479,0.0203453898112718,-0.000620919227323919,0.0319095782541744,-0.0240341090842922,71.220155039058,0.145362020169969,0.0121076223530533,1.02223720829321,1.00437075307885,0.0991657406769496,0.294417943862148,0.297519369023079
"80",80,0.0183273597332084,0.02,0.0264876502041891,0.0217337288297401,0.004753921374449,0.0346007808454236,-0.026074465265534,70.5277631698589,0.145464413794639,0.0131653721224551,1.02238762012211,1.0038515389093,0.0981091083238997,0.294261937446957,0.297185417308658
"81",81,0.0131824075003991,0.02,0.0130400572700885,0.020521968668011,-0.00748191139792247,0.0396980206601815,-0.0299330320784009,70.8730446753176,0.145656889929128,0.0121243870712785,1.02331852983812,1.00443423562926,0.0986519244772811,0.294137654983559,0.297360527520044
"82",82,0.0245288755650359,0.02,0.0078582034579107,0.019127479587753,-0.0112692761298423,0.0371240310936282,-0.0279774995391766,71.6728088925699,0.145557934574755,0.0107181518118261,1.02326501581779,1.00432644188029,0.0960920349634159,0.294383187548977,0.297239409584474
"83",83,0.0298266657988675,0.02,0.0198962555990787,0.0203227942909476,-0.000426538691868922,0.0321031866576193,-0.0241805003079965,71.5199930802798,0.145369288816131,0.0112571845751766,1.02352839159503,1.00444491001082,0.0924010426049475,0.294447137836147,0.297735402865233
"84",84,0.0183301353475892,0.02,0.0264891347494335,0.0217768370980871,0.00471229765134644,0.0347938510352623,-0.0262205504434625,70.8417947780318,0.145471687560865,0.0122725506832299,1.02380021692363,1.0045718439121,0.091351742709037,0.294276090742121,0.298097209971927
"85",85,0.0132283263039897,0.02,0.013113236619042,0.0205891485191259,-0.00747591190008381,0.0398900714530296,-0.0300785384857774,71.1698977760664,0.145664173319884,0.0112449676768342,1.02417247888471,1.00464845440544,0.0918407945240468,0.294176273310451,0.298101471972343
"86",86,0.0245102174934225,0.02,0.00795099085113882,0.0190814162504426,-0.0111304253993038,0.0373165966586497,-0.0281232992691006,71.9574404933258,0.145565213017372,0.00986262178498015,1.02443852872725,1.00481404594743,0.0893657341338363,0.294608423000167,0.297979523585874
"87",87,0.0300215978938508,0.02,0.0198552795757815,0.020333089054562,-0.0004778094787805,0.032219863080274,-0.0242686254342544,71.8309656331194,0.145373645252491,0.0103573498511381,1.0244430348704,1.00469879422764,0.085959793593406,0.294376901460788,0.297925869666423
"88",88,0.0183557355080606,0.02,0.0267528227858622,0.0217875531473555,0.00496526963850671,0.0349107582845585,-0.0263088069492222,71.1421506882345,0.145476041790261,0.0113776995656997,1.02458303714861,1.00470075533604,0.0848153173637103,0.293807545529758,0.297950018910449
"89",89,0.0129893198654549,0.02,0.0131971368331087,0.0205597189170579,-0.00736258208394914,0.0400820838376398,-0.0302240230677384,71.4359245245427,0.145671457074836,0.0103929120205709,1.0244124408547,1.00504495648947,0.0854026966565397,0.293717847548223,0.297649115232305
"90",90,0.0245629060339514,0.02,0.00783842988888095,0.0191001226587287,-0.0112616927698478,0.037509123712484,-0.0282690771296119,72.2263668579676,0.145572491823937,0.00900405106877888,1.02483186425599,1.00507808395761,0.0830498551710682,0.293452799140216,0.297801035059578
"91",91,0.0301341151667421,0.02,0.0199621346920002,0.0203321816425339,-0.000370046950533687,0.0324134094298566,-0.0244149814813857,72.1123444346353,0.14538091447995,0.009474191682263,1.02545553770707,1.00510097725159,0.0798911422871897,0.293497652269752,0.29779945061272
"92",92,0.0184156006299201,0.02,0.0268276408101167,0.0218230293779513,0.00500461143216546,0.0351037664820092,-0.026454856976777,71.4300446029896,0.145483316137931,0.0104677762777579,1.02560468087155,1.00536267696182,0.0788168985786826,0.293201908035335,0.297963054929003
"93",93,0.0130177833961918,0.02,0.0132845032104092,0.0206019858384443,-0.00731748262803512,0.0402740578216931,-0.0303694858275577,71.7115502236392,0.145678741194003,0.00948857411223876,1.02614824267991,1.00519473798784,0.0794481714900273,0.292970263321367,0.297973810789651
"94",94,0.0246426043656573,0.02,0.00789797601142506,0.0191077483125907,-0.0112097723011657,0.0377016122628327,-0.0284148331239907,72.4973575890469,0.145579770994471,0.00810923918155683,1.02590237844383,1.00515323763896,0.0772117140115217,0.292779873048623,0.297724678736629
"95",95,0.0304505823266762,0.02,0.0200736236752714,0.0204290108878595,-0.000355387212588094,0.0325684858179274,-0.0245322022417501,72.407245375653,0.145386727638625,0.00853534766692632,1.02694734237618,1.00552425159581,0.0743273009193125,0.292554637720709,0.297722993273094
"96",96,0.0184752970890001,0.02,0.0271629128381103,0.0218628694985008,0.00530004333960942,0.035258689138115,-0.0265719903875523,71.7155118783303,0.145489130753062,0.00953312579102139,1.02768318085368,1.0053259155911,0.0732378177509616,0.292606376088741,0.297620785730535
"97",97,0.0130068375858697,0.02,0.0133488892383627,0.0205538011706775,-0.00720491193231484,0.0403891385907656,-0.0304567044677461,71.9721400916133,0.14568311274003,0.0085918568724444,1.02869721904779,1.00508113995321,0.0739274877696714,0.292708090854573,0.297514901855957
"98",98,0.0247195589410909,0.02,0.00799300595288552,0.0190729082394293,-0.0110799022865438,0.0378179760435136,-0.0285027821701316,72.7560621496871,0.145584130263415,0.0072162647011698,1.02888576771731,1.00546176184502,0.0718770613016274,0.292903608612619,0.297599705381684
"99",99,0.0305429146962951,0.02,0.0201061220209325,0.020333365606327,-0.000227243585394498,0.0326466917415165,-0.0245911918522958,72.6914153561373,0.14538962800495,0.00759607938044627,1.02965754681213,1.00538354933087,0.06941076486679,0.292855717877399,0.297191112784081
"100",100,0.0185926799588519,0.02,0.0272658063241568,0.0219397078002116,0.00532609852394511,0.0353375097549914,-0.0266313298114035,72.0170807600185,0.145492025247349,0.00854246455258182,1.03036130680255,1.00529894991376,0.0682710315014804,0.293114826918962,0.296955951847651
"101",101,0.0128320101305108,0.02,0.0134412808435339,0.0205872872484749,-0.007146006404941,0.0405810511669389,-0.0306021323262279,72.2604555117975,0.145690397442024,0.00759551633850815,1.03055280473899,1.00491166364116,0.0690729811540779,0.293404707199308,0.297021183023838
"102",102,0.0248376921199082,0.02,0.00786182179033382,0.0190803681935878,-0.0112185464032539,0.0379715989032713,-0.0286191782966798,73.0540748415452,0.145589957093163,0.00620493578501837,1.03047917737066,1.0051669469108,0.0670300868014621,0.293897078585279,0.297336229209836
"103",103,0.0307703608278447,0.02,0.0202624809712261,0.02038138914188,-0.000118908170653891,0.0327249050776912,-0.0246501857133286,73.0140589033316,0.145392528297812,0.00654558667555334,1.03084052349716,1.00515981553869,0.0649184068441929,0.293940398485456,0.296944052997572
"104",104,0.0189570101906232,0.02,0.0275318645596342,0.0218938504491978,0.00563801411043635,0.0351439688135635,-0.0264849784686844,72.3326424307165,0.145484756237027,0.00751807638679505,1.031202865976,1.00496066500074,0.0638442982097853,0.293655888855242,0.297030169937724
