scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,4,450,0.01886759294110213,0.02,0.0,0.9376636691790582,0.42959227283912677,0.03444530313012003,0.11703011531237432
1,1,4,500,0.019115590208584665,0.02,0.0,0.9576573337207113,0.4658423590745695,0.03141332498778442,0.12141172704142031
1,1,4,550,0.01974046475064778,0.02,0.0,0.9897188072941026,0.5436297475845705,0.030569006679534105,0.09599651855951899
1,1,4,600,0.020139692408013662,0.02,0.0,1.0028245324523621,0.6554229418597869,0.03012793428521713,0.11062180798020231
1,1,4,650,0.020301485852459947,0.02,0.0,1.0096147356605172,0.6448562193216127,0.03587102520919027,0.09158408007400103
1,1,4,700,0.02185177832420851,0.02,0.0,1.1003771022799753,0.67588121113305,0.031073630220691144,0.10954651115104996
1,1,4,750,0.022410803673292998,0.02,0.0,1.10712604695887,0.6675338630946034,0.03437553754229679,0.08170513690763666
1,1,4,800,0.021094916279848983,0.02,0.0,1.05019702691043,0.6262630487096562,0.02873118298451535,0.10647262004376307
1,1,5,100,0.020438088590364747,0.02,0.0,1.026273604720268,0.6486959558301034,0.030872896051574332,0.11006599266919502
1,1,5,150,0.021301518332422064,0.02,0.0,1.061137825882731,0.4990317655223991,0.03869768859448761,0.09030216746957258
1,1,5,200,0.02116964953581191,0.02,0.0,1.0687430668150582,0.5603843290668222,0.03453497439452191,0.11264946350549206
1,1,5,250,0.021920050662530558,0.02,0.0,1.0976733643167083,0.5381602897268893,0.031350103351539794,0.10062988226502789
1,1,5,300,0.02100758868840265,0.02,0.0,1.0397882450879037,0.5318977009671483,0.029929008217616005,0.10812065266952679
1,1,5,350,0.022582499673097306,0.02,0.0,1.0768207270464532,0.50225755268477,0.0317420023383367,0.10439746433212165
1,1,5,400,0.021259617188171043,0.02,0.0,1.0623881060859386,0.49230692080448124,0.0310927454540839,0.08677875271406309
1,1,5,450,0.033699184098126396,0.02,0.0,1.1445434484577686,0.477664293977204,0.028476027991766524,0.09923375666857112
1,1,5,500,0.022343360873558194,0.02,0.0,1.1112345575402782,0.49694059172929866,0.027989050102967476,0.11056816412356217
1,1,5,550,0.02070242930867672,0.02,0.000586418062026496,1.1291147824260297,0.543731356798876,0.03320213313756436,0.10266422149448612
1,1,5,600,0.01529970998220428,0.02,0.29043136441256173,1.133143966972491,0.5906060191867881,0.03256817616925759,0.1276173365337263
1,1,5,650,0.014643920739853166,0.02,0.570706670419096,1.0292862161993448,0.6076623378701912,0.02729420078018559,0.09195684450120162
1,1,5,700,0.013971802804930033,0.02,0.7402749310218789,0.9683422903242844,0.6459363828188399,0.030687356153270885,0.09119672996326854
1,1,5,750,0.013014913542710763,0.02,0.8428647574805217,0.9230321962578139,0.6828615678751172,0.02875439940936648,0.11490369081562243
1,1,5,800,0.012386417601824188,0.02,0.9049322249145875,0.8454692618755827,0.7588785896854913,0.03689964647610954,0.10078288811214361
1,1,6,100,0.020820557066734743,0.02,0.0,1.0407706963796917,0.3892148191205201,0.0345100977675415,0.11896650267803528
1,1,6,150,0.02122802245969234,0.02,0.0,1.0581981977102977,0.2876397484573362,0.03152229820919359,0.10727881503673146
1,1,6,200,0.016068103517788035,0.02,0.0030816237408565713,1.036048264991654,0.2985596523749821,0.03178082626646983,0.10594715580215483
1,1,6,250,0.013160562848803941,0.02,0.005570931218027226,1.085695397465566,0.2646938257627801,0.02751111735537894,0.1081175988949064
1,1,6,300,0.009566564009077705,0.02,0.008054022888705277,1.0926055549540454,0.2818609843233851,0.03435002329424009,0.10737726110975736
1,1,6,350,0.007117597130599151,0.02,0.010530914273773988,1.1274623743715446,0.2083674661661901,0.02846602789969767,0.11436533635922418
1,1,6,400,0.007321877521683067,0.02,0.01300162085536033,1.0973241111245815,0.2036597064837712,0.027012199672192583,0.1072830948939464
1,1,6,450,0.020281572976028023,0.02,0.0,1.0102589400700808,0.2926230883609729,0.0338763718956812,0.10841018239582816
1,1,6,500,0.02105127691771955,0.02,0.0,1.041043223204329,0.21126518039471678,0.03683454860237055,0.13324875270850764
1,1,6,550,0.019747930425484533,0.02,0.0005864180620271782,1.0548721634680749,0.2013432407584738,0.027391488467858625,0.11893606526791631
1,1,6,600,0.02049103156144278,0.02,0.0,1.0222972746001173,0.21565722724888872,0.03076862258230475,0.09611518865874268
1,1,6,650,0.022214104488497186,0.02,0.0,1.1008944435867163,0.3083473572896639,0.03342756049335546,0.10586718818533043
1,1,6,700,0.014460474813770602,0.02,0.21971416053583617,1.1059227518038284,0.37516703728428014,0.03222888086499256,0.1287066140357768
1,1,6,750,0.015668443691996877,0.02,0.5279223330226753,1.1320596648417878,0.401385415980821,0.029547387609056057,0.1030540702142443
