simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
1,138,0.0398805104650923,0.02,0.0316717987062487,0.021575493780985756,0.010096304925262943,0.02196307887725652,-0.016517951019905497,73.54448141436966,0.1449897378721697,0.006268578700356062,1.0269467770448795,0.9933926229591611,0.035002112898011375,0.3194391655999049,0.29993319678481345
1,139,0.0059413405798751815,0.02,0.03937687705189541,0.02345782150785741,0.015919055544038,0.031743448088484,-0.023903325166244715,72.06894233364709,0.14535449481172488,0.008283916221042681,1.0209798057704629,0.9902400334185797,0.03630159686257785,0.3209341225936472,0.3001758166707123
1,140,0.0033113210968585124,0.02,0,0.019450995830603057,-0.019450995830603057,0.041426013607599205,-0.031233239478479335,72.94717078034078,0.1457201693860513,0.005757146153734973,1.0252360428413476,0.9907165132823732,0.03828689947062164,0.32572558496511755,0.30348496992843466
1,141,0.035035422180075,0.02,0,0.017963670836700286,-0.017963670836700286,0.0318402737436752,-0.023976533331986127,74.52463842316293,0.14535812890122862,0.0032434253510326477,1.012133436464783,0.9940270918540919,0.03457882246147146,0.3174645622900181,0.31102017335840776
1,142,0.03844858504031783,0.02,0.031581930397570845,0.020988227821854777,0.010593702575716069,0.02215867648111191,-0.0166654696391334,73.85117438951822,0.14499698790282017,0.005216400138712509,1.0075724363014518,1.0008790090853918,0.0322896714894874,0.31046749800744244,0.3122164530333732
1,143,0.00651149435772858,0.02,0.03761991953169175,0.023865771079344587,0.01375414845234716,0.031937089716300764,-0.024049736007046296,72.6215735032736,0.14536176308159024,0.006702530463883567,1.0120521870126675,1.002266531469967,0.03164577708863978,0.2963425174373556,0.3107010813485304
1,144,0.0035639907179433688,0.02,0,0.01873952494753096,-0.01873952494753096,0.041617718819137735,-0.03137855085962149,73.46768188198561,0.1457274559410168,0.004164978639650188,1.0061570767259174,0.9916015425546719,0.03734954422204522,0.2956084052578785,0.3139933574184967
1,145,0.034199717706008104,0.02,0,0.017546964448061777,-0.017546964448061777,0.032033896007329074,-0.024122933191837226,74.80414173113294,0.1453653973528121,0.0021599928729524637,1.0018944218136159,0.9971904407557732,0.03156724327852971,0.2909670352600619,0.3109442696914103
1,146,0.03824146291351032,0.02,0.0305438389384185,0.020537029599818863,0.010006809338599636,0.022354234967402364,-0.016812966131121487,74.42032184403662,0.14500423829599932,0.0035742811754948733,0.9992352725990488,1.003505792785961,0.03176299168353247,0.2860937215077638,0.31531734051702914
1,147,0.005160322714554403,0.02,0.03733188702431356,0.023348770534677776,0.013983116489635784,0.0321306926177283,-0.024196124886770587,73.10920285108823,0.14536903171489635,0.005185889208111761,0.9981940172259222,1.0006260217785576,0.03172033276531314,0.28755190741514136,0.3143178858795383
1,148,0.0021641325838818123,0.02,0,0.01880255986863451,-0.01880255986863451,0.04180938569155103,-0.03152384044460155,73.89186793704968,0.14573474286033736,0.0027340594201839805,0.9940903996330791,0.995433048959966,0.03581596143074707,0.2889533296149618,0.3129538871058587
1,149,0.03332388986476818,0.02,0,0.016033967185600326,-0.016033967185600326,0.03222747954846648,-0.024269311092258272,75.16195246226737,0.1453726661678454,0.0008891523300628862,1.0042270394658632,1.003176815921687,0.03157035697593988,0.29230303022354653,0.3101951305781438
1,150,0.03915254467129621,0.02,0.029458032306033832,0.020673602729131983,0.008784429576901849,0.022549754343951123,-0.016960440499188878,74.76358492721042,0.14501148905172534,0.0023431625039846376,1.000726211715966,0.9986138379213533,0.032043804590562906,0.28815345890916605,0.3064756367931885
1,151,0.006964669696810371,0.02,0.038384609176351336,0.024009331502961508,0.014375277673389829,0.032324256800511646,-0.024342491808712063,73.50808136766808,0.1453763007116614,0.003788265460349135,1.0099207384094278,1.0006239483395645,0.031091224610260447,0.2921528698545289,0.3041850673474344
1,152,0.0029642679479495253,0.02,0,0.01922115111186642,-0.01922115111186642,0.04200101423250658,-0.03166910823668878,74.34219780869967,0.14574203014403117,0.001178679799781365,1.0055683300776512,1.0042319956626669,0.03584642388256074,0.2788641660652198,0.3044645287008664
1,153,0.034086793029087556,0.02,0,0.016795978087255935,-0.016795978087255935,0.03242102437483163,-0.02441566703654341,75.7383401455039,0.14537993534634672,-0.0009053737577036312,1.019908680835634,0.993543837611063,0.03162182796299411,0.27737075715445886,0.3020920343319529
1,154,0.039445103362595234,0.02,0.030331523462927557,0.021908029168151946,0.00842349429477561,0.022745234618579958,-0.017107892746654363,75.3149415121743,0.14501874017001634,0.0006192422153929416,1.0113315336883117,0.9859307366340675,0.03195547813217207,0.2769194220321351,0.29863898899599073
1,155,0.007797617997706072,0.02,0.038695719698567554,0.024005960409933993,0.014689759288633562,0.03251778227239413,-0.02448883677616409,74.07480808925787,0.14538357007190353,0.001980182597284948,1.011043659265285,0.9869012392553272,0.03100475032324137,0.28265416159400286,0.2914121378325615
1,156,0.0031569111670339,0.02,0,0.019017269029832903,-0.019017269029832903,0.04219260444967017,-0.0318143542391518,74.83973160223681,0.14574931779211653,-0.0005593390527538074,1.0190685362311394,0.984722855495811,0.034772827979663,0.2838623383058557,0.2943824496079959
1,157,0.03454435164868084,0.02,0,0.01672520535828957,-0.01672520535828957,0.03261453049416684,-0.02456200102798567,76.29343946779886,0.14538720488833423,-0.0027389527032794154,1.0266628401601345,0.990288380344055,0.03178196545156372,0.28111696147930665,0.2923785890416625
1,158,0.03949591435006716,0.02,0.030839985009812887,0.020981886011343293,0.009858098998469594,0.022940675799108474,-0.0172553228768354,75.84716372041736,0.14502599165089045,-0.0011425229850462858,1.028935621636738,0.983924828814401,0.031843437494210064,0.28984287446361584,0.28984477782112233
1,159,0.008653427728193198,0.02,0.03871695359890204,0.025174807622128658,0.01354214597677338,0.03271126904111736,-0.024635159792419814,74.6602610228555,0.14539083979564096,5.632293525789521e-05,1.0310312566305337,0.9797595168699055,0.031016685214950497,0.29197070449789186,0.2978446720541319
1,160,0.004622872981968746,0.02,0,0.019854992971381626,-0.019854992971381626,0.042384156350706234,-0.03195957845525921,75.47225898874807,0.14575660580461164,-0.0026618151034586758,1.0321946428785924,0.978127517947423,0.03510866739778773,0.2902480398932855,0.3069294466705183
1,161,0.035666856175976216,0.02,0,0.018206993238316347,-0.018206993238316347,0.03280799791421327,-0.024708313069877974,76.92293104046018,0.1453944747938261,-0.00481736958907873,1.02869651517656,0.973668266929064,0.031213431986871466,0.2900516018049893,0.3037652347354596
1,162,0.04086007227105248,0.02,0.03214363990129998,0.02270992076737568,0.009433719133924302,0.023136077893355377,-0.017402730893049778,76.54469501733828,0.14503324349436578,-0.0033374403026401123,1.0194955285838792,0.9666103043897307,0.03182758476451216,0.28482117371677307,0.3030686650562309
1,163,0.007055173951232085,0.02,0.040313189911730385,0.02486606294886798,0.015447126962862406,0.032904717114421826,-0.02478146086077182,75.13421826970554,0.1453981098828918,-0.0017434954458492896,1.0254591176456769,0.9737639373082033,0.03100460514536583,0.2775408714307222,0.3034708624794509
1,164,0.004216030409335954,0.02,0,0.019979739298364985,-0.019979739298364985,0.042575669943277605,-0.03210478088827884,75.87015662916392,0.1457638941815347,-0.004374503891458553,1.014831459666857,0.9754487982019909,0.03547450705579486,0.2789375931502057,0.3043507414064235
1,165,0.03561885162508943,0.02,0,0.017278528251918356,-0.017278528251918356,0.033001426642710385,-0.02485460316551269,77.23368902017558,0.1454017450628405,-0.006324730963135439,1.0214192847766839,0.9650633921909162,0.03140569987016286,0.27633929706441,0.30441151023443613
1,166,0.03893519839868782,0.02,0.03204757630625288,0.020789207857748664,0.011258368448504214,0.023331440909137427,-0.017550116798614623,76.79397098578725,0.1450404957004605,-0.004674628763780527,1.025779781438937,0.9608408729280954,0.03167184015033242,0.2744092896139395,0.3042392526587982
